file,usable_nav,nav_decision_basis,has_lat,has_lon,has_latlon,lat_non_nan_count,lon_non_nan_count,has_sentence,n_time1,use_sentence_for_nav,error
L0004-D20170602-T224458-ES60.raw,True,latlon+sentence,True,True,True,7932,7932,True,7932,True,
L0004-D20170602-T232902-ES60.raw,True,latlon+sentence,True,True,True,7932,7932,True,7932,True,
L0004-D20170603-T001306-ES60.raw,True,latlon+sentence,True,True,True,7932,7932,True,7932,True,
L0004-D20170603-T005710-ES60.raw,True,latlon+sentence,True,True,True,7932,7932,True,7932,True,
L0004-D20170603-T014114-ES60.raw,True,latlon+sentence,True,True,True,7932,7932,True,7932,True,
L0004-D20170603-T022518-ES60.raw,True,latlon+sentence,True,True,True,7932,7932,True,7932,True,
L0004-D20170603-T030922-ES60.raw,True,latlon+sentence,True,True,True,7932,7932,True,7932,True,
L0004-D20170603-T035326-ES60.raw,True,latlon+sentence,True,True,True,7932,7932,True,7932,True,
L0004-D20170603-T043730-ES60.raw,True,latlon+sentence,True,True,True,7932,7932,True,7932,True,
L0004-D20170603-T052134-ES60.raw,True,latlon+sentence,True,True,True,7932,7932,True,7932,True,
L0004-D20170603-T060538-ES60.raw,True,latlon+sentence,True,True,True,7932,7932,True,7932,True,
L0004-D20170603-T064942-ES60.raw,True,latlon+sentence,True,True,True,7929,7929,True,7929,True,
L0004-D20170603-T073346-ES60.raw,True,latlon+sentence,True,True,True,7932,7932,True,7932,True,
L0004-D20170603-T081750-ES60.raw,True,latlon+sentence,True,True,True,7932,7932,True,7932,True,
L0004-D20170603-T090154-ES60.raw,True,latlon+sentence,True,True,True,7932,7932,True,7932,True,
L0004-D20170603-T094558-ES60.raw,True,latlon+sentence,True,True,True,7932,7932,True,7932,True,
L0004-D20170603-T103002-ES60.raw,True,latlon+sentence,True,True,True,7932,7932,True,7932,True,
L0004-D20170603-T111406-ES60.raw,True,latlon+sentence,True,True,True,7932,7932,True,7932,True,
L0004-D20170603-T115810-ES60.raw,True,latlon+sentence,True,True,True,7932,7932,True,7932,True,
L0004-D20170603-T124214-ES60.raw,True,latlon+sentence,True,True,True,7932,7932,True,7932,True,
L0004-D20170603-T132618-ES60.raw,True,latlon+sentence,True,True,True,7935,7935,True,7935,True,
L0004-D20170603-T141023-ES60.raw,True,latlon+sentence,True,True,True,7932,7932,True,7932,True,
L0004-D20170603-T145427-ES60.raw,True,latlon+sentence,True,True,True,7932,7932,True,7932,True,
L0004-D20170603-T153831-ES60.raw,True,latlon+sentence,True,True,True,4173,4173,True,4173,True,
L0005-D20170603-T160227-ES60.raw,True,latlon+sentence,True,True,True,7932,7932,True,7932,True,
L0005-D20170603-T164630-ES60.raw,True,latlon+sentence,True,True,True,4290,4290,True,4290,True,
L0006-D20170603-T171021-ES60.raw,True,latlon+sentence,True,True,True,7932,7932,True,7932,True,
L0006-D20170603-T175425-ES60.raw,True,latlon+sentence,True,True,True,7932,7932,True,7932,True,
L0006-D20170603-T183829-ES60.raw,True,latlon+sentence,True,True,True,7929,7929,True,7929,True,
L0006-D20170603-T192233-ES60.raw,True,latlon+sentence,True,True,True,7932,7932,True,7932,True,
L0006-D20170603-T200637-ES60.raw,True,latlon+sentence,True,True,True,7935,7935,True,7935,True,
L0006-D20170603-T205041-ES60.raw,True,latlon+sentence,True,True,True,7929,7929,True,7929,True,
L0006-D20170603-T213445-ES60.raw,True,latlon+sentence,True,True,True,4876,4876,True,4876,True,
L0006-D20170603-T221923-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0006-D20170603-T230413-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0006-D20170603-T234903-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0006-D20170604-T003353-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0006-D20170604-T011843-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0006-D20170604-T020333-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0006-D20170604-T024824-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0006-D20170604-T033314-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0006-D20170604-T041804-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0006-D20170604-T050254-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0006-D20170604-T054744-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0006-D20170604-T063234-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0006-D20170604-T071724-ES60.raw,True,latlon+sentence,True,True,True,2174,2174,True,2174,True,
L0007-D20170604-T073602-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0007-D20170604-T082052-ES60.raw,True,latlon+sentence,True,True,True,2348,2348,True,2348,True,
L0008-D20170604-T084028-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0008-D20170604-T092518-ES60.raw,True,latlon+sentence,True,True,True,2064,2064,True,2064,True,
L0009-D20170604-T094243-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0009-D20170604-T102732-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0009-D20170604-T111222-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0009-D20170604-T115712-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0009-D20170604-T124202-ES60.raw,True,latlon+sentence,True,True,True,2160,2160,True,2160,True,
L0010-D20170604-T130005-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0010-D20170604-T134455-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0010-D20170604-T142945-ES60.raw,True,latlon+sentence,True,True,True,276,276,True,276,True,
L0011-D20170604-T143204-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0011-D20170604-T151653-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0011-D20170604-T160143-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0011-D20170604-T164633-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0011-D20170604-T173123-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0012-D20170604-T181819-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0012-D20170604-T190309-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0012-D20170604-T194759-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0012-D20170604-T203249-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0012-D20170604-T211739-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0012-D20170604-T220229-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0012-D20170604-T224719-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0012-D20170604-T233209-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0012-D20170605-T001659-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0012-D20170605-T010149-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0012-D20170605-T014639-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0012-D20170605-T023129-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0012-D20170605-T031619-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0012-D20170605-T040109-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0012-D20170605-T044559-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0012-D20170605-T053049-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0012-D20170605-T061539-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0012-D20170605-T070029-ES60.raw,True,latlon+sentence,True,True,True,734,734,True,734,True,
L0013-D20170605-T070639-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0013-D20170605-T075128-ES60.raw,True,latlon+sentence,True,True,True,934,934,True,934,True,
L0014-D20170605-T075917-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0014-D20170605-T084406-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0014-D20170605-T092856-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0014-D20170605-T101347-ES60.raw,True,latlon+sentence,True,True,True,106,106,True,106,True,
L0015-D20170605-T101442-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0015-D20170605-T105931-ES60.raw,True,latlon+sentence,True,True,True,574,574,True,574,True,
L0016-D20170605-T110420-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0016-D20170605-T114910-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0016-D20170605-T123400-ES60.raw,True,latlon+sentence,True,True,True,3118,3118,True,3118,True,
L0017-D20170605-T130001-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0017-D20170605-T134450-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0017-D20170605-T142940-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0018-D20170605-T151445-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0018-D20170605-T155935-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0018-D20170605-T164425-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0018-D20170605-T172915-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0018-D20170605-T181405-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0018-D20170605-T185855-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0018-D20170605-T194345-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0018-D20170605-T202835-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0018-D20170605-T211325-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0018-D20170605-T215815-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0018-D20170605-T224305-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0018-D20170605-T232755-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0018-D20170606-T001245-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0018-D20170606-T005735-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0018-D20170606-T014225-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0018-D20170606-T022715-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0018-D20170606-T031205-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0018-D20170606-T035655-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0018-D20170606-T044145-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0018-D20170606-T052635-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0018-D20170606-T061125-ES60.raw,True,latlon+sentence,True,True,True,5036,5036,True,5036,True,
L0019-D20170606-T065324-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0019-D20170606-T073814-ES60.raw,True,latlon+sentence,True,True,True,490,490,True,490,True,
L0020-D20170606-T074221-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0020-D20170606-T082710-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0020-D20170606-T091200-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0020-D20170606-T095650-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0020-D20170606-T104140-ES60.raw,True,latlon+sentence,True,True,True,818,818,True,818,True,
L0021-D20170606-T104831-ES60.raw,True,latlon+sentence,True,True,True,5334,5334,True,5334,True,
L0022-D20170606-T113259-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0022-D20170606-T121749-ES60.raw,True,latlon+sentence,True,True,True,2596,2596,True,2596,True,
L0023-D20170606-T130159-ES60.raw,True,latlon+sentence,True,True,True,2,2,True,2,True,
L0023-D20170606-T134648-ES60.raw,True,latlon+sentence,True,True,True,2,2,True,2,True,
L0024-D20170606-T135231-ES60.raw,True,latlon+sentence,True,True,True,3582,3582,True,3582,True,
L0024-D20170606-T143720-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0024-D20170606-T152210-ES60.raw,True,latlon+sentence,True,True,True,2170,2170,True,2170,True,
L0025-D20170606-T154016-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0025-D20170606-T162506-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0025-D20170606-T170956-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0025-D20170606-T175446-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0025-D20170606-T183936-ES60.raw,True,latlon+sentence,True,True,True,2292,2292,True,2292,True,
L0026-D20170606-T185845-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0026-D20170606-T194334-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0026-D20170606-T202824-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0026-D20170606-T211314-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0026-D20170606-T215804-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0026-D20170606-T224254-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0026-D20170606-T232744-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0026-D20170607-T001234-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0026-D20170607-T005724-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0026-D20170607-T014214-ES60.raw,True,latlon+sentence,True,True,True,5386,5386,True,5386,True,
L0026-D20170607-T022708-ES60.raw,True,latlon+sentence,True,True,True,5400,5400,True,5400,True,
L0026-D20170607-T031208-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0026-D20170607-T035658-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0026-D20170607-T044148-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0026-D20170607-T052638-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0026-D20170607-T061128-ES60.raw,True,latlon+sentence,True,True,True,5140,5140,True,5140,True,
L0027-D20170607-T065419-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0028-D20170607-T073948-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0028-D20170607-T082438-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0028-D20170607-T090928-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0028-D20170607-T095418-ES60.raw,True,latlon+sentence,True,True,True,1494,1494,True,1494,True,
L0029-D20170607-T100647-ES60.raw,True,latlon+sentence,True,True,True,1376,1376,True,1376,True,
L0030-D20170607-T101815-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0030-D20170607-T110305-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0030-D20170607-T114755-ES60.raw,True,latlon+sentence,True,True,True,5140,5140,True,5140,True,
L0031-D20170607-T123047-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0031-D20170607-T131537-ES60.raw,True,latlon+sentence,True,True,True,1334,1334,True,1334,True,
L0032-D20170607-T132644-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0032-D20170607-T141134-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0032-D20170607-T145624-ES60.raw,True,latlon+sentence,True,True,True,3654,3654,True,3654,True,
L0033-D20170607-T152653-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0033-D20170607-T161143-ES60.raw,True,latlon+sentence,True,True,True,910,910,True,910,True,
L0034-D20170607-T161919-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0034-D20170607-T170409-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0034-D20170607-T174859-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0034-D20170607-T183349-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0034-D20170607-T191839-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0034-D20170607-T200329-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0034-D20170607-T204819-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0034-D20170607-T213309-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0034-D20170607-T221759-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0034-D20170607-T230249-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0034-D20170607-T234739-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0034-D20170608-T003229-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0034-D20170608-T011719-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0034-D20170608-T020209-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0034-D20170608-T024659-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0034-D20170608-T033149-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0034-D20170608-T041639-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0034-D20170608-T050129-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0034-D20170608-T054619-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0034-D20170608-T063109-ES60.raw,True,latlon+sentence,True,True,True,2610,2610,True,2610,True,
L0035-D20170608-T065257-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0035-D20170608-T073747-ES60.raw,True,latlon+sentence,True,True,True,2760,2760,True,2760,True,
L0036-D20170608-T080048-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0036-D20170608-T084538-ES60.raw,True,latlon+sentence,True,True,True,5372,5372,True,5372,True,
L0037-D20170608-T093026-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0037-D20170608-T101516-ES60.raw,True,latlon+sentence,True,True,True,506,506,True,506,True,
L0038-D20170608-T101930-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0038-D20170608-T110420-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0038-D20170608-T114910-ES60.raw,True,latlon+sentence,True,True,True,2340,2340,True,2340,True,
L0039-D20170608-T120840-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0039-D20170608-T125330-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0039-D20170608-T133820-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0039-D20170608-T142310-ES60.raw,True,latlon+sentence,True,True,True,3014,3014,True,3014,True,
L0040-D20170608-T144819-ES60.raw,True,latlon+sentence,True,True,True,3648,3648,True,3648,True,
L0041-D20170608-T151844-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0041-D20170608-T160334-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
L0041-D20170608-T164824-ES60.raw,True,latlon+sentence,True,True,True,726,726,True,726,True,
L0042-D20170608-T165428-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0042-D20170608-T173917-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0042-D20170608-T182407-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0042-D20170608-T190857-ES60.raw,True,latlon+sentence,True,True,True,5378,5378,True,5378,True,
L0042-D20170608-T195347-ES60.raw,True,latlon+sentence,True,True,True,5380,5380,True,5380,True,
